IDentification Name,USAF,NCDC,Date,HrMn,Type,Wind Dir,Wind Spd,Temp,Dewpt,Slp,RHx
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,53,FM-15,120,3.1,-1.7,-3.3,1008.3,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,153,FM-15,130,4.1,-1.7,-3.3,1007.7,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,253,FM-15,130,4.1,-1.1,-2.8,1007.3,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,353,FM-15,120,2.1,-1.1,-2.8,1007.7,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,453,FM-15,100,2.1,-1.1,-2.8,1007.7,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,553,FM-15,100,2.1,-1.7,-3.3,1007.5,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,653,FM-15,100,2.6,-2.2,-3.3,1006.5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,753,FM-15,100,2.6,-2.2,-3.3,1005.9,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,853,FM-15,110,2.1,-2.2,-3.9,1005.7,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,953,FM-15,120,2.1,-2.2,-3.9,1005.1,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1053,FM-15,130,1.5,-1.7,-2.8,1004.7,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1153,FM-15,120,2.6,-0.6,-2.8,1004.4,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1253,FM-15,80,1.5,-0.6,-2.2,1004.2,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1353,FM-15,60,2.1,-0.6,-2.2,1004.3,89
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1453,FM-15,80,3.6,0,-2.2,1004.3,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1553,FM-15,90,3.6,0.6,-1.7,1004.5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1653,FM-15,90,2.6,1.7,-0.6,1003.8,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1753,FM-15,70,4.6,1.7,-0.6,1002.4,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1853,FM-15,90,4.6,2.2,0,1001.5,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,1953,FM-15,60,4.6,2.8,0,1000.9,82
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,2053,FM-15,50,4.6,1.7,-0.6,1000.9,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,2153,FM-15,70,5.1,1.7,-0.6,1001.2,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,2253,FM-15,60,5.1,1.1,-0.6,1002,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060101,2353,FM-15,70,5.7,1.1,-0.6,1002,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,10,FM-16,70,5.1,1,-1,1003,86
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,51,FM-16,70,5.7,2,-1,1002.5,80
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,52,FM-15,60,5.1,1.7,-0.6,1002.9,85
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,145,FM-16,60,5.7,1,1,1002.5,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,153,FM-15,60,5.1,1.1,0.6,1003,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,251,FM-16,70,4.1,1,1,1003,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,253,FM-15,60,4.6,1.1,0.6,1002.7,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,353,FM-15,50,3.6,1.1,1.1,1002.2,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,424,FM-16,50,4.1,1,1,1002.2,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,453,FM-15,50,5.1,1.1,1.1,1002.1,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,553,FM-15,60,5.7,1.1,1.1,1001.5,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,639,FM-16,50,5.7,2,1,1001.8,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,653,FM-15,50,5.7,1.1,1.1,1001.1,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,725,FM-16,50,6.2,2,1,1001,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,749,FM-16,50,5.7,2,1,1001.7,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,753,FM-15,60,4.1,1.7,1.1,1001.3,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,823,FM-16,60,3.1,2,1,1000.9,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,853,FM-15,20,5.7,1.7,1.1,1000.8,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,953,FM-15,20,6.2,1.7,0.6,1001.2,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1037,FM-16,20,6.7,2,1,1001.5,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1053,FM-15,20,5.7,1.7,1.1,1002.1,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1153,FM-15,20,6.2,1.7,0.6,1002.1,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1253,FM-15,10,6.7,1.7,0.6,1003.3,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1342,FM-16,360,8.2,1,1,1004,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1353,FM-15,360,6.7,1.1,0.6,1003.6,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1429,FM-16,350,7.7,1,1,1003.5,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1451,FM-16,360,7.7,1,1,1004.1,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1453,FM-15,360,7.7,1.1,0.6,1004.3,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1506,FM-16,360,7.7,2,1,1004.8,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1553,FM-15,350,7.7,1.7,0.6,1005.4,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1653,FM-15,350,7.2,1.7,0.6,1005.5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1753,FM-15,350,7.7,1.7,0.6,1005.8,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1853,FM-15,340,7.2,1.7,0.6,1006.5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,1953,FM-15,340,7.7,1.7,0.6,1006.5,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2053,FM-15,340,6.7,1.7,0.6,1008,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2143,FM-16,350,7.7,1,1,1007.2,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2151,FM-16,340,8.2,1,1,1007.7,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2153,FM-15,340,7.2,1.1,0.6,1009.3,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2237,FM-16,340,6.7,1,1,1011,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2253,FM-15,340,5.7,1.1,0.6,1010.1,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2303,FM-16,340,6.2,1,1,1010.8,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060102,2353,FM-15,340,4.1,1.1,0.6,1011.2,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,53,FM-15,310,5.1,1.1,0.6,1012.7,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,153,FM-15,310,5.7,1.1,0.6,1013.5,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,253,FM-15,320,5.7,1.1,0,1013.6,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,353,FM-15,330,5.7,1.1,0,1013.7,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,453,FM-15,360,3.6,0.6,0,1013.7,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,553,FM-15,300,3.1,0.6,0,1014.5,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,653,FM-15,330,1.5,0.6,0,1013.8,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,753,FM-15,320,2.1,0.6,0,1014.2,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,853,FM-15,300,1.5,0.6,0,1014.8,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,933,FM-16,270,4.1,1,0,1014.4,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,945,FM-16,280,3.1,1,0,1015,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,953,FM-15,280,3.6,0.6,0,1015.5,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1006,FM-16,280,3.6,1,0,1016,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1028,FM-16,320,1.5,1,0,1014.2,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1053,FM-15,300,0,0.6,0,1013.9,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1107,FM-16,320,0,1,0,1013.8,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1137,FM-16,330,0,1,0,1013.9,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1153,FM-15,120,0,0.6,0,1014,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1210,FM-16,240,0,1,0,1014.1,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1234,FM-16,20,0,1,0,1014.3,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1253,FM-15,50,0,0.6,0,1013.8,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1353,FM-15,160,1.5,0.6,0,1013.6,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1409,FM-16,190,2.6,1,1,1014.2,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1453,FM-15,200,2.6,0.6,0.6,1014.8,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1553,FM-15,180,4.1,1.1,1.1,1014.3,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1632,FM-16,170,5.7,2,1,1013,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1653,FM-15,160,5.7,2.2,1.1,1013.4,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1753,FM-15,200,5.7,1.7,1.1,1013,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1810,FM-16,180,5.1,2,1,1013.8,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1822,FM-16,170,4.6,2,1,1014.1,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1833,FM-16,170,3.6,2,1,1012,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1853,FM-15,170,4.1,1.7,1.1,1011.3,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1914,FM-16,170,4.6,2,1,1011,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,1953,FM-15,160,4.1,1.7,1.1,1010.1,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,2053,FM-15,150,5.1,1.7,1.1,1009.3,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,2153,FM-15,140,5.7,2.2,1.1,1008.8,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,2253,FM-15,130,5.1,2.2,1.1,1007.6,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060103,2353,FM-15,140,5.1,1.7,1.1,1007.2,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,53,FM-15,140,4.1,1.7,1.1,1007.4,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,153,FM-15,140,3.6,2.2,1.7,1007.5,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,253,FM-15,130,2.6,2.2,1.1,1007.6,92
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,353,FM-15,140,4.1,2.2,1.7,1006.2,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,412,FM-16,150,3.6,2,2,1006.1,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,443,FM-16,130,3.6,2,2,1006.3,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,453,FM-15,140,2.6,2.2,1.7,1006.6,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,551,FM-16,140,0,2,2,1006.5,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,553,FM-15,160,0,2.2,2.2,1006.3,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,651,FM-16,150,0,2,2,1006.3,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,653,FM-15,180,0,2.2,2.2,1006.3,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,753,FM-15,310,2.6,2.2,2.2,1006.9,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,842,FM-16,310,3.6,2,2,1007,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,853,FM-15,300,3.6,1.7,1.7,1008.4,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,901,FM-16,300,4.1,2,2,1009,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,912,FM-16,310,4.6,2,2,1010.2,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,929,FM-16,320,7.7,2,1,1011.1,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,936,FM-16,310,9.3,2,1,1008.9,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,944,FM-16,310,7.2,2,1,1008.7,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,953,FM-15,320,7.2,1.1,1.1,1009.3,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1003,FM-16,320,7.2,1,1,1009.5,100
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1053,FM-15,320,6.2,1.1,0.6,1009.7,96
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1129,FM-16,310,7.2,1,0,1010.1,93
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1145,FM-16,300,5.7,2,0,1010.4,87
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1153,FM-15,300,6.7,1.7,0,1011.9,88
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1208,FM-16,310,7.2,2,0,1012.2,87
AMES MUNICIPAL AIRPORT        ,725472,94989,20060104,1253,FM-15,310,7.2,1.7,0,1012.8,88
